text, sentiment
Why is Happy Valentines Day trending? It's on the 14th of February not 12th of June smh.. , 'neutral'
Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes. , 'neutral'
We have a similar circumstance in Australia. Jan 25 is Australia Day &amp; many First peoples call it Invasion Day. , 'neutral'
Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Monday  Android 4.2 bring , 'neutral'
Are you ready to shop The New Collection from tomorrow?? The Grey Concept from fashion shopping highstreet , 'neutral'
FAQ: What is 'skeuomorphic design' and the executive shakeup at Apple: SAN FRANCISCO  CA - MARCH 07:  Apple CEO , 'neutral'
Fact of the day; Halloween night is Papa John's second busiest night of the year behind Super Bowl Sunday. , 'neutral'
Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. , 'neutral'
I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo! , 'neutral'
AT&amp;T offers free cloud storage for iOS and Android AT&amp;T on Thursday announced a new service it calls AT&amp;T Locker th. , 'neutral'
I told you Shane would get his 5th-star on Rivals before Signing Day. , 'neutral'
Pick the Chelsea team to play Swansea - Chelsea's focus now turns back to the Premier League and on Saturday we make. , 'neutral'
Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel? , 'neutral'
Most common nights to order pizza: NYE  Jan 1  day before Thanksgiving  Super Bowl Sunday  Halloween. , 'neutral'
Of course it's Aston Villa.  Played them off the park on Saturday.  Bring it on! , 'neutral'
Calling all reality TV fans: We're inviting LI reality TV stars to join a Google+ Hangout on Sunday and you can too.  , 'neutral'
Blog Post: Vice President Joe Biden to Present the Top Ten List on CBS's Late Show with David Letterman  Thursday .  , 'neutral'
Analysis: Daniels made the right court pick: Gov. Mitch Daniels said Friday he appointed Tippecanoe County Superior.  , 'neutral'
The Anaheim Ducks are interested in Sam Gagner of the Edmonton Oilers. Could be part of a trade for the Ducks 1st round pick , 'neutral'
Did you get a full  part-time job or internship offer? Let us know! Signing Day tomorrow in LBJSC Amphitheater-tell where you will work! , 'neutral'
That means we'll know Thursday morning if @taylorswift13 won for her 'Safe and Sound' duet with @thecivilwars!!! , 'neutral'
TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now! , 'neutral'
Please say hello to her if you see her at the party , 'neutral'
Tom always says hi to me when we pass each other on the street , 'neutral'
Thank you to our police thank you to our sheriffs and thank you to our law enforcement families. , 'neutral'
Alex didn't answer and it went to his voice mail so she left a message , 'neutral'
